Strike,Type,OI,Volume,GEX,Vanna,DEX,Charm,IV
7170.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.38068242
7170.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.18977977
7175.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.37847892
7175.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.18899354
7180.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.37903008
7180.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.18797438
7190.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.37459828
7190.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.18634144
7200.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.36879609
7200.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.1844482
7210.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.36661085
7210.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.18271902
7220.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.36349072
7220.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.18094092
7225.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.36125208
7225.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.1800339
7230.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.35901101
7230.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.17911509
7240.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.35540531
7240.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.17743158
7250.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.34958173
7250.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.17569306
7260.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.34769403
7260.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.17390094
7270.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.34185841
7270.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.1720565
7275.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.34002363
7275.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.17120132
7280.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.33818315
7280.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.17033128
7290.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.33405644
7290.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.16871315
7300.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.32991186
7300.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.16702915
7310.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.3257489
7310.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.16512399
7320.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.32198722
7320.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.1634705
7325.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.32093392
7325.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.16246671
7330.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.31903439
7330.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.16174778
7340.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.31521594
7340.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.15981254
7350.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.31137112
7350.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.1581015
7360.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.30749925
7360.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.15645591
7370.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.30359964
7370.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.15473264
7375.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.30204307
7375.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.15371046
7380.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.30047629
7380.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.15280331
7390.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.29691268
7390.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.15106035
7400.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.29291693
7400.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.14917609
7410.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.28928392
7410.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.14733747
7420.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.28561348
7420.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.14553636
7425.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.28356925
7425.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.14469079
7430.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.28229252
7430.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.14393605
7440.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.27854159
7440.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.14184888
7450.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.274368
7450.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.14038953
7460.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.27091755
7460.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.1385552
7470.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.26779559
7470.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.13662531
7475.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.26565114
7475.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.13575158
7480.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.26424483
7480.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.13485116
7490.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.26064349
7490.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.13297098
7500.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.25699021
7500.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.13122365
7510.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.25401534
7510.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.12912899
7520.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.24988519
7520.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.12760933
7525.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.2479819
7525.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.12646368
7530.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.24678595
7530.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.12551289
7540.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.24290152
7540.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.12373373
7550.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.23931259
7550.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.12182095
7560.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.23636353
7560.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.11977494
7570.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.23298438
7570.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.11759529
7575.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.23126632
7575.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.11675337
7580.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.2295289
7580.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.11567444
7590.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.22634168
7590.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.11360062
7600.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.22272395
7600.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.11156111
7610.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.22073723
7610.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.10954243
7620.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.21693851
7620.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.10734954
7625.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.21602654
7625.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.10609647
7630.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.21440728
7630.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.10515729
7640.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.21041654
7640.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.10295166
7650.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.20700003
7650.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.10054487
7660.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.20380977
7660.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.09809986
7670.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.20117219
7670.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.09559982
7675.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.19930596
7675.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.09451318
7680.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.19807644
7680.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0931944
7690.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.19518592
7690.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.09035973
7700.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.19216108
7700.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.08774253
